"","Ammophila_10_2016","Ammophila_11_2016","Ammophila_12_2016","Ammophila_13_2016","Ammophila_14_2016","Ammophila_15_2016","Ammophila_16_2016","Ammophila_17_2016","Ammophila_18_2016","Ammophila_19_2016","Ammophila_1_2016","Ammophila_20_2016","Ammophila_21_2016","Ammophila_22_2016","Ammophila_23_2016","Ammophila_24_2016","Ammophila_25_2016","Ammophila_26_2016","Ammophila_27_2016","Ammophila_28_2016","Ammophila_29_2016","Ammophila_2_2016","Ammophila_30_2016","Ammophila_3_2016","Ammophila_4_2016","Ammophila_5_2016","Ammophila_6_2016","Ammophila_7_2016","Ammophila_8_2016","Ammophila_9_2016","Baccharis_10_2016","Baccharis_11_2016","Baccharis_12_2016","Baccharis_13_2016","Baccharis_14_2016","Baccharis_15_2016","Baccharis_16_2016","Baccharis_17_2016","Baccharis_18_2016","Baccharis_19_2016","Baccharis_1_2016","Baccharis_20_2016","Baccharis_21_2016","Baccharis_22_2016","Baccharis_23_2016","Baccharis_24_2016","Baccharis_25_2016","Baccharis_26_2016","Baccharis_27_2016","Baccharis_28_2016","Baccharis_29_2016","Baccharis_2_2016","Baccharis_30_2016","Baccharis_31_2016","Baccharis_32_2016","Baccharis_3_2016","Baccharis_4_2016","Baccharis_5_2016","Baccharis_6_2016","Baccharis_7_2016","Baccharis_8_2016","Baccharis_9_2016","Iceplant_11_2016","Iceplant_13_2016","Iceplant_14_2016","Iceplant_15_2016","Iceplant_18_2016","Iceplant_20_2016","Iceplant_21_2016","Iceplant_22_2016","Iceplant_23_2016","Iceplant_27_2016","Iceplant_28_2016","Iceplant_30_2016","Iceplant_31_2016","Iceplant_34_2016","Iceplant_36_2016","Iceplant_37_2016","Iceplant_38_2016","Iceplant_41_2016","Iceplant_42_2016","Iceplant_43_2016","Iceplant_44_2016","Iceplant_46_2016","Iceplant_47_2016","Iceplant_49_2016","Iceplant_4_2016","Iceplant_53_2016","Iceplant_55_2016","Iceplant_59_2016","Iceplant_60_2016","Iceplant_61_2016","Iceplant_62_2016","Iceplant_63_2016","Iceplant_6_2016","Iceplant_7_2016","Iceplant_8_2016","Iceplant_9_2016","Lupine_10_2016","Lupine_11_2016","Lupine_12_2016","Lupine_13_2016","Lupine_14_2016","Lupine_15_2016","Lupine_16_2016","Lupine_18_2016","Lupine_19_2016","Lupine_1_2016","Lupine_21_2016","Lupine_23_2016","Lupine_25_2016","Lupine_26_2016","Lupine_27_2016","Lupine_28_2016","Lupine_2_2016","Lupine_31_2016","Lupine_32_2016","Lupine_33_2016","Lupine_35_2016","Lupine_36_2016","Lupine_37_2016","Lupine_38_2016","Lupine_3_2016","Lupine_40_2016","Lupine_43_2016","Lupine_44_2016","Lupine_45_2016","Lupine_46_2016","Lupine_47_2016","Lupine_49_2016","Lupine_4_2016","Lupine_50_2016","Lupine_51_2016","Lupine_53_2016","Lupine_54_2016","Lupine_56_2016","Lupine_58_2016","Lupine_59_2016","Lupine_61_2016","Lupine_62_2016","Lupine_63_2016","Lupine_7_2016","Lupine_8_2016","Lupine_9_2016","Sand_10_2016","Sand_12_2016","Sand_1_2016","Sand_2_2016","Sand_6_2016","Sand_8_2016","Sand_9_2016"
"1_1101_10038_21070__2016F4_45_A_28_240",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10080_6925__2016F2_67_I_22_240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10163_18027__2016F4_80_A_15_240",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10221_13515__2016F5_50_A_10_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10318_12132__2016F3_62_A_25_120",0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"1_1101_10453_2639__2016F4_61_B_22_120",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10634_15664__2016F2_15_B_23_120",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10715_17710__2015F3_71_I_10_240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10791_9122__2015F4_79_S_1",1,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1101_10911_25288__2015F2_21_I_30_240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
