"","Kingdom","Phylum","Subphylum","Class","Subclass","Order","Family","Genus","Species"
"1_1101_10038_21070__2016F4_45_A_28_240","Fungi","Ascomycota","Saccharomycotina","Saccharomycetes","Saccharomycetidae","Saccharomycetales","Saccharomycetales_Incertae sedis","Candida","Candida digboiensis"
"1_1101_10080_6925__2016F2_67_I_22_240","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria avenaria f sp tritici 4 MM_2012"
"1_1101_10163_18027__2016F4_80_A_15_240","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetidae","Agaricales","Agaricaceae","Macrolepiota","Macrolepiota fuliginosa"
"1_1101_10221_13515__2016F5_50_A_10_0","Fungi","Ascomycota","Pezizomycotina","Pezizomycetes","Pezizomycetidae","Pezizales","Pezizaceae","Peziza","Peziza depressa"
"1_1101_10318_12132__2016F3_62_A_25_120","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","Hypocreales","Cordycipitaceae","Lecanicillium","Verticillium sp zealandica"
"1_1101_10453_2639__2016F4_61_B_22_120","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetidae","Agaricales","Agaricaceae","Agaricus","Agaricus bisporus var burnettii"
"1_1101_10634_15664__2016F2_15_B_23_120","Fungi","Neocallimastigomycota","Neocallimastigomycota_Incertae sedis","Neocallimastigomycetes","Neocallimastigomycetes_Incertae sedis","Neocallimastigales","Neocallimastigaceae","Cyllamyces","Cyllamyces aberensis"
"1_1101_10715_17710__2015F3_71_I_10_240","Fungi","Zygomycota","Mucoromycotina","Mucoromycotina_Incertae sedis","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella epigama"
"1_1101_10791_9122__2015F4_79_S_1","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","Pleosporales","Sporormiaceae","Preussia","Preussia terricola"
"1_1101_10911_25288__2015F2_21_I_30_240","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Microbotryomycetes_Incertae sedis","Sporidiobolales","Sporidiobolales_Incertae sedis","Rhodotorula","Rhodotorula javanica"
"1_1101_11171_16746__2016F2_54_L_64_0","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Sordariomycetidae","Sordariales","Chaetomiaceae","Thielavia","Chaetomium piluliferum"
