,Seedling,SoilSource,Treatment,Tray,Position,SeedlingStatus,HarvestDate,WeighingDate,AG_Dry_mg,BG_Dry_mg,PlantSpecies,ID_num,SoilHostSpecies,Round,Age,Location,GreenhouseRound,PlantDate,Total_Dry_mg
2,L4_Ster_Ce,L_4,Sterile,Tray5,2,Alive,11/20/17,2012/2/17,30.17,3.38,Ce,4,Lupine,1,9,BMR,Round1,25-Aug,33.55
3,I64_Ster_Aa,I_64,Sterile,Tray5,3,Alive,11/20/17,2012/2/17,27.7,36.92,Aa,64,IcePlant,1,0.5,BMR,Round1,25-Aug,64.62
4,I53_Ster_Bp,I_53,Sterile,Tray5,4,Alive,11/20/17,2012/2/17,26.08,39.05,Bp,53,IcePlant,1,5,Sonoma,Round1,25-Aug,65.13
5,B29_Ster_Bp,B_29,Sterile,Tray5,5,Alive,11/20/17,2012/2/17,12.74,22.64,Bp,29,Baccharis,2,10,Sonoma,Round1,25-Aug,35.38
6,B36_Ster_La,B_36,Sterile,Tray5,6,Alive,11/20/17,2012/2/17,426.41,537.41,La,36,Baccharis,2,0.5,BMR,Round1,25-Aug,963.82
7,B29_Ster_Ce,B_29,Sterile,Tray5,7,Alive,11/20/17,2012/2/17,28.65,3.57,Ce,29,Baccharis,2,10,Sonoma,Round1,25-Aug,32.22
8,I27_Ster_Aa,I_27,Sterile,Tray5,8,Alive,11/20/17,2012/2/17,43.99,39.82,Aa,27,IcePlant,1,18,Sonoma,Round1,25-Aug,83.81
10,L8_Live_Aa,L_8,Live,Tray5,10,Alive,11/20/17,2012/2/17,50.4,39.91,Aa,8,Lupine,1,4,BMR,Round1,24-Aug,90.31
11,L31_Ster_Bp,L_31,Sterile,Tray5,11,Alive,11/20/17,2012/2/17,32.81,53.61,Bp,31,Lupine,1,8,Sonoma,Round1,25-Aug,86.42
16,A19_Live_Ce,A_19,Live,Tray5,17,Alive,11/20/17,2012/2/17,18.19,4.67,Ce,19,Ammophila,1,10,Sonoma,Round1,24-Aug,22.86
18,I8_Live_Bp,I_8,Live,Tray5,19,Alive,11/20/17,2012/2/17,2.89,5.53,Bp,8,IcePlant,1,12,BMR,Round1,24-Aug,8.42
19,L35_Ster_Aa,L_35,Sterile,Tray5,20,Alive,11/20/17,2012/2/17,75.95,115.35,Aa,35,Lupine,2,5,Sonoma,Round1,25-Aug,191.3
20,I55_Ster_La,I_55,Sterile,Tray5,21,Alive,11/20/17,2012/2/17,72.44,135.24,La,55,IcePlant,1,13,Sonoma,Round1,25-Aug,207.68
21,L21_Live_Bp,L_21,Live,Tray5,22,Alive,11/20/17,2012/2/17,21.19,28.15,Bp,21,Lupine,1,7,Sonoma,Round1,24-Aug,49.34
22,B15_Live_Aa,B_15,Live,Tray5,23,Alive,11/20/17,2012/2/17,81.13,71.75,Aa,15,Baccharis,2,26,BMR,Round1,24-Aug,152.88
24,L21_Live_Ce,L_21,Live,Tray5,25,Alive,11/20/17,2012/2/17,29.61,6.94,Ce,21,Lupine,1,7,Sonoma,Round1,24-Aug,36.55
25,B6_Ster_Ce,B_6,Sterile,Tray5,26,Alive,11/20/17,2012/2/17,37.98,9.5,Ce,6,Baccharis,2,17,BMR,Round1,25-Aug,47.48
26,L31_Live_Bp,L_31,Live,Tray5,27,Alive,11/20/17,2012/2/17,53.53,66.1,Bp,31,Lupine,1,8,Sonoma,Round1,24-Aug,119.63
28,L21_Ster_Bp,L_21,Sterile,Tray5,29,Alive,11/20/17,2012/2/17,23.31,25.2,Bp,21,Lupine,1,7,Sonoma,Round1,25-Aug,48.51
30,L50_Ster_Aa,L_50,Sterile,Tray5,31,Alive,11/20/17,2012/2/17,50.19,87.53,Aa,50,Lupine,2,3,Sonoma,Round1,25-Aug,137.72
31,L21_Ster_Ce,L_21,Sterile,Tray5,32,Alive,11/20/17,2012/2/17,39.72,12.57,Ce,21,Lupine,1,7,Sonoma,Round1,25-Aug,52.29
